Path,Valence,Energy
./data/lpd/lpd_cleansed/D/D/D/TRDDDHM12903CC6E58/84c6478cb29d1d7652b558a3329f9cfe.npz,0.933,0.548
./data/lpd/lpd_cleansed/D/D/B/TRDDBKX128F4266F99/9910dad002f6eb1d18d00c5c5301cc5c.npz,0.967,0.837
./data/lpd/lpd_cleansed/D/D/B/TRDDBTV12903CDF740/061d13d33c186c90f137605644bf217d.npz,0.762,0.484
./data/lpd/lpd_cleansed/D/D/B/TRDDBHG128F4267F62/ee228d3dffeb52cd1e7231426e0b0bf3.npz,0.877,0.508
./data/lpd/lpd_cleansed/D/D/K/TRDDKVJ128F422723C/e57bbf57bee8dadeffea17a053ce81e6.npz,0.24,0.736
./data/lpd/lpd_cleansed/D/D/M/TRDDMSN128F4287010/981e85580475d43ff0b1788ae0fcd318.npz,0.184,0.51
./data/lpd/lpd_cleansed/D/D/M/TRDDMMF128F42847F4/cbce8512acfcd5144aeec09c7a296749.npz,0.41,0.463
./data/lpd/lpd_cleansed/D/D/S/TRDDSRI128F4262747/07e81fd29a2b0bc5516b89aaabb8c7a4.npz,0.8,0.484
./data/lpd/lpd_cleansed/D/D/S/TRDDSWG128F92CCFBC/9228dc38b32275d96bf62ce309f4544a.npz,0.904,0.946
./data/lpd/lpd_cleansed/D/D/Q/TRDDQLH128F427DC24/f04e1262caacda0c529e9c5f983c077c.npz,0.613,0.272
./data/lpd/lpd_cleansed/D/D/W/TRDDWNX128F92CA530/cff36983f68880110b67e92b256b9823.npz,0.824,0.783
./data/lpd/lpd_cleansed/D/D/J/TRDDJTO12903CF0555/3015fd6ea6a771e9fe9cda0aac752e13.npz,0.12,0.926
./data/lpd/lpd_cleansed/D/D/J/TRDDJAH128F930C4DB/27bf26a8a5b38bb8145dc8260404f11c.npz,0.658,0.925
./data/lpd/lpd_cleansed/D/D/O/TRDDOJM128F428CEE1/50a21851b8f1acbee78d239b91beaf7c.npz,0.862,0.817
./data/lpd/lpd_cleansed/D/D/T/TRDDTKY128F92EF9B8/c56d4512f83f17ede130035312b221ae.npz,0.711,0.434
./data/lpd/lpd_cleansed/D/D/V/TRDDVRY128F426C4A6/b10a1a42a5a9d26ddf4b1204e74ab238.npz,0.562,0.328
./data/lpd/lpd_cleansed/D/D/V/TRDDVYI128F92D2C58/8750e8b485ba28fa017ca16770bdb614.npz,0.896,0.933
./data/lpd/lpd_cleansed/D/D/V/TRDDVDB128F92DE0D2/3015fd6ea6a771e9fe9cda0aac752e13.npz,0.12,0.926
./data/lpd/lpd_cleansed/D/D/L/TRDDLZS128F933F5B6/faf73d8929d8dafe55420f10fa94ed0e.npz,0.591,0.405
./data/lpd/lpd_cleansed/D/D/L/TRDDLJC128F425A7B6/a8efa645119c954f2a7fc4bfb4ad1294.npz,0.546,0.648
./data/lpd/lpd_cleansed/D/D/P/TRDDPYK12903C9A588/aecba33b536b7192e46286e7153134a9.npz,0.198,0.899
./data/lpd/lpd_cleansed/D/D/R/TRDDRCC128F4261D57/2ac3d1a97151711b9f619723d6519986.npz,0.164,0.193
./data/lpd/lpd_cleansed/D/B/B/TRDBBMB128F427C53B/fbb22ff3ee5e2751a82d0c93dcccf72c.npz,0.292,0.016
./data/lpd/lpd_cleansed/D/B/S/TRDBSGB128F92E9755/cbaf6f9f849693dcbccee651fe178b2d.npz,0.758,0.901
./data/lpd/lpd_cleansed/D/B/A/TRDBAXY128F932AB62/0bdb203f4eef0c56c6eec85d84589822.npz,0.876,0.897
./data/lpd/lpd_cleansed/D/B/F/TRDBFIY128E07937A6/db402178d8d8d720c486ce5299cbdc6a.npz,0.221,0.621
./data/lpd/lpd_cleansed/D/B/F/TRDBFMU128F9312CF0/e79747f43c51d3bd58a1297b18f5ae94.npz,0.48,0.712
./data/lpd/lpd_cleansed/D/B/J/TRDBJJE128F933A935/a2883b6a8a85f7d2e82f614e9878acc2.npz,0.528,0.966
./data/lpd/lpd_cleansed/D/B/O/TRDBOHB128F42150BB/24f62d5158f7b953e01327d8eaff31a6.npz,0.422,0.524
./data/lpd/lpd_cleansed/D/B/Y/TRDBYWP128F92FFCB9/9a10d77892f61172271301c7f150327a.npz,0.544,0.587
./data/lpd/lpd_cleansed/D/B/C/TRDBCJM128F427C9A2/19e68b940067bc328bf712a52fb9505e.npz,0.131,0.317
./data/lpd/lpd_cleansed/D/B/Z/TRDBZLI12903CF7DF1/81b168c6ba1ca0f21ca28f2a5f7c48d4.npz,0.0384,0.258
./data/lpd/lpd_cleansed/D/B/Z/TRDBZLO12903D07003/770409fd088dd888ccff5900eeb1605d.npz,0.582,0.554
./data/lpd/lpd_cleansed/D/B/H/TRDBHBV12903CCFBC5/74ae51f2c7462c8be957d8866c7318b0.npz,0.329,0.804
./data/lpd/lpd_cleansed/D/B/T/TRDBTOH128F930DD59/2b3809a3d29d8f149182b92005aa0d55.npz,0.427,0.66
./data/lpd/lpd_cleansed/D/B/V/TRDBVPT128F933581B/7a5607bce8a4028b17be05b46882b05a.npz,0.867,0.835
./data/lpd/lpd_cleansed/D/B/V/TRDBVOX128F429E938/1e04ed41cacf4387a8c2137b2361effb.npz,0.114,0.298
./data/lpd/lpd_cleansed/D/B/V/TRDBVFN128F42699ED/23a132a4dc3d27769cc0a8bda15b54e4.npz,0.583,0.42
./data/lpd/lpd_cleansed/D/B/I/TRDBIDZ128F147CD4B/d9751ce28ee32d3aeb2e911f6c09e6cd.npz,0.656,0.871
./data/lpd/lpd_cleansed/D/B/I/TRDBIEX128F4285129/aa523158a5f7313d80a0d07b4e1e46ba.npz,0.871,0.866
./data/lpd/lpd_cleansed/D/B/G/TRDBGWE128F14A8EE7/5d3151a5f422e956bed2b2738ca7b75e.npz,0.707,0.217
./data/lpd/lpd_cleansed/D/B/E/TRDBEUF128F42AD7D0/ef226881e32259c6c541410ac070874a.npz,0.678,0.904
./data/lpd/lpd_cleansed/D/B/E/TRDBEON128F147C1ED/ece10bef842e8f76ddc0649b43708d20.npz,0.186,0.618
./data/lpd/lpd_cleansed/D/K/D/TRDKDBY128F9310342/7ceb00c453095c3cc6472607ef3c16aa.npz,0.403,0.353
./data/lpd/lpd_cleansed/D/K/B/TRDKBOW128F4285838/65a9b0ec5ab828ebb91661a9e32fe641.npz,0.416,0.403
./data/lpd/lpd_cleansed/D/K/B/TRDKBDH128F4260DD4/f0f1b200dad09d1fbf8961bda754b50c.npz,0.644,0.771
./data/lpd/lpd_cleansed/D/K/B/TRDKBVQ128F42772EF/8b69909059646adea441893d7f9c89f8.npz,0.443,0.333
./data/lpd/lpd_cleansed/D/K/K/TRDKKFO12903D0977F/a29ef6072bfa84b45be2e01fade4ffa9.npz,0.888,0.804
./data/lpd/lpd_cleansed/D/K/F/TRDKFRL128F92FF4D1/0878d25820cba1a2622d5bcb2a525306.npz,0.506,0.485
./data/lpd/lpd_cleansed/D/K/Q/TRDKQNC128F93202A6/e86a9f62319f26bba05f6c1cb8b970f7.npz,0.707,0.528
./data/lpd/lpd_cleansed/D/K/Q/TRDKQKF128F4233A3A/b33921f7c4fc12e9af48a4fb3947f4a9.npz,0.155,0.235
./data/lpd/lpd_cleansed/D/K/W/TRDKWAN128F9307A66/d25b41bc3ccc5dde3b627eae1859a53f.npz,0.895,0.913
./data/lpd/lpd_cleansed/D/K/W/TRDKWVA128F9317404/c711f5674e0760d6d47d5b723846a62f.npz,0.334,0.957
./data/lpd/lpd_cleansed/D/K/W/TRDKWUL128F9314177/475fd207b8d4c08ad808468b53dedcc6.npz,0.778,0.779
./data/lpd/lpd_cleansed/D/K/J/TRDKJNN128F9348FAD/608e2610998e01d7dabba358756137cc.npz,0.516,0.647
./data/lpd/lpd_cleansed/D/K/J/TRDKJTO128F42B5D6A/da111e8833bdb870d8db687fab8cf824.npz,0.626,0.41
